        Lon,        Lat, YearDay, Time,       Satellite, Method of Detect, Ecosys, Fire RadPower
-121.474000,  39.651000, 2018315, 0002,       GOES-EAST,              FDC,     22,      -999.000
-121.518000,  39.655000, 2018315, 0002,       GOES-EAST,              FDC,     91,      -999.000
-121.505000,  39.681000, 2018315, 0002,       GOES-EAST,              FDC,     26,      -999.000
-121.425000,  39.839000, 2018315, 0002,       GOES-EAST,              FDC,     22,      -999.000
-121.474000,  39.651000, 2018315, 0007,       GOES-EAST,              FDC,     22,      -999.000
-121.505000,  39.681000, 2018315, 0007,       GOES-EAST,              FDC,     26,      -999.000
-121.425000,  39.839000, 2018315, 0007,       GOES-EAST,              FDC,     22,      -999.000
-121.474000,  39.651000, 2018315, 0012,       GOES-EAST,              FDC,     22,      -999.000
-121.425000,  39.839000, 2018315, 0012,       GOES-EAST,              FDC,     22,      -999.000
-121.474000,  39.651000, 2018315, 0022,       GOES-EAST,              FDC,     22,      -999.000
-121.518000,  39.655000, 2018315, 0022,       GOES-EAST,              FDC,     91,      -999.000
-121.505000,  39.681000, 2018315, 0022,       GOES-EAST,              FDC,     26,      -999.000
-121.678000,  39.805000, 2018315, 0022,       GOES-EAST,              FDC,     26,      -999.000
-121.425000,  39.839000, 2018315, 0022,       GOES-EAST,              FDC,     22,      -999.000
-121.474000,  39.651000, 2018315, 0027,       GOES-EAST,              FDC,     22,      -999.000
-121.518000,  39.655000, 2018315, 0027,       GOES-EAST,              FDC,     91,      -999.000
-121.505000,  39.681000, 2018315, 0027,       GOES-EAST,              FDC,     26,      -999.000
-121.678000,  39.805000, 2018315, 0027,       GOES-EAST,              FDC,     26,      -999.000
-121.425000,  39.839000, 2018315, 0027,       GOES-EAST,              FDC,     22,      -999.000
-124.329000,  43.032000, 2018315, 0027,       GOES-EAST,              FDC,     22,      -999.000
-121.474000,  39.651000, 2018315, 0032,       GOES-EAST,              FDC,     22,      -999.000
-121.518000,  39.655000, 2018315, 0032,       GOES-EAST,              FDC,     91,      -999.000
-121.505000,  39.681000, 2018315, 0032,       GOES-EAST,              FDC,     26,      -999.000
-121.678000,  39.805000, 2018315, 0032,       GOES-EAST,              FDC,     26,      -999.000
-121.425000,  39.839000, 2018315, 0032,       GOES-EAST,              FDC,     22,      -999.000
-121.474000,  39.651000, 2018315, 0037,       GOES-EAST,              FDC,     22,      -999.000
-121.518000,  39.655000, 2018315, 0037,       GOES-EAST,              FDC,     91,      -999.000
-121.505000,  39.681000, 2018315, 0037,       GOES-EAST,              FDC,     26,      -999.000
-121.551000,  39.685000, 2018315, 0037,       GOES-EAST,              FDC,     91,      -999.000
-121.678000,  39.805000, 2018315, 0037,       GOES-EAST,              FDC,     26,      -999.000
-121.394000,  39.809000, 2018315, 0037,       GOES-EAST,              FDC,     22,      -999.000
-121.425000,  39.839000, 2018315, 0037,       GOES-EAST,              FDC,     22,      -999.000
-124.329000,  43.032000, 2018315, 0037,       GOES-EAST,              FDC,     22,      -999.000
 -56.692000,   5.904000, 2018315, 0501,         NOAA 20,            VIIRS,     41,         1.308
 -56.691000,   5.908000, 2018315, 0501,         NOAA 20,            VIIRS,     41,         1.308
 -56.691000,   5.911000, 2018315, 0501,         NOAA 20,            VIIRS,     19,         1.599
 -55.384000,   5.934000, 2018315, 0501,         NOAA 20,            VIIRS,     33,         3.089
 -55.380000,   5.937000, 2018315, 0501,         NOAA 20,            VIIRS,     33,         2.002
 -55.383000,   5.938000, 2018315, 0501,         NOAA 20,            VIIRS,     33,         2.002
 -55.376000,   5.940000, 2018315, 0501,         NOAA 20,            VIIRS,     33,         0.947
 -55.379000,   5.941000, 2018315, 0501,         NOAA 20,            VIIRS,     33,         2.002
 -62.874000,   8.218000, 2018315, 0501,         NOAA 20,            VIIRS,     43,         1.022
 -62.871000,   8.222000, 2018315, 0501,         NOAA 20,            VIIRS,     43,         0.926
 -62.821000,   8.280000, 2018315, 0501,         NOAA 20,            VIIRS,      8,         1.862
 -62.782000,   8.301000, 2018315, 0501,         NOAA 20,            VIIRS,     43,         0.517
 -62.782000,   8.302000, 2018315, 0501,         NOAA 20,            VIIRS,     43,         0.455
 -64.072000,   8.526000, 2018315, 0501,         NOAA 20,            VIIRS,     43,         1.356
 -64.135000,   8.558000, 2018315, 0501,         NOAA 20,            VIIRS,     43,         4.538
 -64.139000,   8.558000, 2018315, 0501,         NOAA 20,            VIIRS,     43,         3.128
 -62.769000,   8.636000, 2018315, 0501,         NOAA 20,            VIIRS,     27,         1.365
 -62.769000,   8.637000, 2018315, 0501,         NOAA 20,            VIIRS,     27,         1.474
 -62.768000,   8.643000, 2018315, 0501,         NOAA 20,            VIIRS,     27,         0.599
 -62.771000,   8.643000, 2018315, 0501,         NOAA 20,            VIIRS,     43,         0.599
 -62.774000,   8.649000, 2018315, 0501,         NOAA 20,            VIIRS,     43,         0.649
 -62.790000,   8.651000, 2018315, 0501,         NOAA 20,            VIIRS,     27,         0.622
 -62.773000,   8.654000, 2018315, 0501,         NOAA 20,            VIIRS,     43,         0.894
 -63.154000,   8.684000, 2018315, 0501,         NOAA 20,            VIIRS,     43,         1.929
 -63.157000,   8.684000, 2018315, 0501,         NOAA 20,            VIIRS,     43,         1.929
 -63.161000,   8.685000, 2018315, 0501,         NOAA 20,            VIIRS,     43,         1.337
 -63.151000,   8.687000, 2018315, 0501,         NOAA 20,            VIIRS,      9,         1.058
 -63.155000,   8.688000, 2018315, 0501,         NOAA 20,            VIIRS,      9,         3.060
 -63.158000,   8.688000, 2018315, 0501,         NOAA 20,            VIIRS,      9,         3.060
 -63.153000,   8.689000, 2018315, 0501,         NOAA 20,            VIIRS,      9,         1.929
 -63.161000,   8.689000, 2018315, 0501,         NOAA 20,            VIIRS,     43,         1.796
 -63.157000,   8.690000, 2018315, 0501,         NOAA 20,            VIIRS,      9,         1.929
