"Date","PM25","Site.Code","POC","Site.Latitude","Site.Longitude","pixel.id","path","pixel.longitude","pixel.latitude","elevation","AOD","AOD_uncertainty","angstrom_exp_550_860","AOD_absorption","AOD_nonspherical","small_mode_AOD","medium_mode_AOD","large_mode_AOD","AOD_raw","AOD_uncertainty_raw","angstrom_exp_550_860_raw","AOD_absorption_raw","AOD_nonspherical_raw","small_mode_AOD_raw","medium_mode_AOD_raw","large_mode_AOD_raw","aerosol_retrieval_conf_index","cloud_screen_parameter","cloud_screen_parameter_neighbour_3x3","aerosol_retrieval_flag","column_ozone_climatology","ocean_surface_windspeed_climatology","ocean_surface_windspeed_retrieved","rayleigh_optical_depth","lowest_residual_mixture","aod_mix_01","aod_mix_02","aod_mix_03","aod_mix_04","aod_mix_05","aod_mix_06","aod_mix_07","aod_mix_08","aod_mix_09","aod_mix_10","aod_mix_11","aod_mix_12","aod_mix_13","aod_mix_14","aod_mix_15","aod_mix_16","aod_mix_17","aod_mix_18","aod_mix_19","aod_mix_20","aod_mix_21","aod_mix_22","aod_mix_23","aod_mix_24","aod_mix_25","aod_mix_26","aod_mix_27","aod_mix_28","aod_mix_29","aod_mix_30","aod_mix_31","aod_mix_32","aod_mix_33","aod_mix_34","aod_mix_35","aod_mix_36","aod_mix_37","aod_mix_38","aod_mix_39","aod_mix_40","aod_mix_41","aod_mix_42","aod_mix_43","aod_mix_44","aod_mix_45","aod_mix_46","aod_mix_47","aod_mix_48","aod_mix_49","aod_mix_50","aod_mix_51","aod_mix_52","aod_mix_53","aod_mix_54","aod_mix_55","aod_mix_56","aod_mix_57","aod_mix_58","aod_mix_59","aod_mix_60","aod_mix_61","aod_mix_62","aod_mix_63","aod_mix_64","aod_mix_65","aod_mix_66","aod_mix_67","aod_mix_68","aod_mix_69","aod_mix_70","aod_mix_71","aod_mix_72","aod_mix_73","aod_mix_74","min_chisq_01","min_chisq_02","min_chisq_03","min_chisq_04","min_chisq_05","min_chisq_06","min_chisq_07","min_chisq_08","min_chisq_09","min_chisq_10","min_chisq_11","min_chisq_12","min_chisq_13","min_chisq_14","min_chisq_15","min_chisq_16","min_chisq_17","min_chisq_18","min_chisq_19","min_chisq_20","min_chisq_21","min_chisq_22","min_chisq_23","min_chisq_24","min_chisq_25","min_chisq_26","min_chisq_27","min_chisq_28","min_chisq_29","min_chisq_30","min_chisq_31","min_chisq_32","min_chisq_33","min_chisq_34","min_chisq_35","min_chisq_36","min_chisq_37","min_chisq_38","min_chisq_39","min_chisq_40","min_chisq_41","min_chisq_42","min_chisq_43","min_chisq_44","min_chisq_45","min_chisq_46","min_chisq_47","min_chisq_48","min_chisq_49","min_chisq_50","min_chisq_51","min_chisq_52","min_chisq_53","min_chisq_54","min_chisq_55","min_chisq_56","min_chisq_57","min_chisq_58","min_chisq_59","min_chisq_60","min_chisq_61","min_chisq_62","min_chisq_63","min_chisq_64","min_chisq_65","min_chisq_66","min_chisq_67","min_chisq_68","min_chisq_69","min_chisq_70","min_chisq_71","min_chisq_72","min_chisq_73","min_chisq_74","flag_retrieve_01","flag_retrieve_02","flag_retrieve_03","flag_retrieve_04","flag_retrieve_05","flag_retrieve_06","flag_retrieve_07","flag_retrieve_08","flag_retrieve_09","flag_retrieve_10","flag_retrieve_11","flag_retrieve_12","flag_retrieve_13","flag_retrieve_14","flag_retrieve_15","flag_retrieve_16","flag_retrieve_17","flag_retrieve_18","flag_retrieve_19","flag_retrieve_20","flag_retrieve_21","flag_retrieve_22","flag_retrieve_23","flag_retrieve_24","flag_retrieve_25","flag_retrieve_26","flag_retrieve_27","flag_retrieve_28","flag_retrieve_29","flag_retrieve_30","flag_retrieve_31","flag_retrieve_32","flag_retrieve_33","flag_retrieve_34","flag_retrieve_35","flag_retrieve_36","flag_retrieve_37","flag_retrieve_38","flag_retrieve_39","flag_retrieve_40","flag_retrieve_41","flag_retrieve_42","flag_retrieve_43","flag_retrieve_44","flag_retrieve_45","flag_retrieve_46","flag_retrieve_47","flag_retrieve_48","flag_retrieve_49","flag_retrieve_50","flag_retrieve_51","flag_retrieve_52","flag_retrieve_53","flag_retrieve_54","flag_retrieve_55","flag_retrieve_56","flag_retrieve_57","flag_retrieve_58","flag_retrieve_59","flag_retrieve_60","flag_retrieve_61","flag_retrieve_62","flag_retrieve_63","flag_retrieve_64","flag_retrieve_65","flag_retrieve_66","flag_retrieve_67","flag_retrieve_68","flag_retrieve_69","flag_retrieve_70","flag_retrieve_71","flag_retrieve_72","flag_retrieve_73","flag_retrieve_74","geometry","fire_dist","closest_cl","light","med","heavy"
"2003-01-02",35,"AQS_06-019-0008",1,36.781333,-119.77319,"P041_002436","P041",-119.760032653809,36.77294921875,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0139009663835168,5,312,0.589294910430908,NA,0.0955821424722672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(20214.8427622243, -137263.163664875),NA,NA,NA,NA,NA
"2003-01-02",32.9,"AQS_06-029-0014",1,35.356615,-119.062613,"P041_006207","P041",-119.064155578613,35.3562469482422,107,0.121126487851143,0.024799482896924,1.44953238964081,0.00728718377649784,0,0.0691680163145065,0.00632646307349205,0.0456331707537174,0.121126487851143,0.024799482896924,1.44953238964081,0.00728718377649784,0,0.0691680163145065,0.00632646307349205,0.0456331707537174,NA,0.875,0.875,0,307,0.589294910430908,NA,0.0958438441157341,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08349609375,NA,NA,0.108642578125,0.113525390625,0.13330078125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.109130859375,0.10888671875,0.10888671875,0.108642578125,0.1337890625,0.15869140625,NA,NA,NA,NA,NA,0.140625,NA,NA,NA,NA,NA,NA,NA,NA,0.1083984375,0.158203125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5625,NA,NA,5.96875,5.640625,5.28125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.65625,6.484375,6.3125,6,5.59375,5.21875,NA,NA,NA,NA,NA,6.578125,NA,NA,NA,NA,NA,NA,NA,NA,6.125,5.296875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(85110.1046769123, -295166.451473785),NA,NA,NA,NA,NA
"2003-01-02",3.4,"AQS_06-037-0002",1,34.1365,-117.92391,"P041_009519","P041",-117.932609558105,34.1283683776855,129,0.0276824701577425,0.0118868229910731,1.79896008968353,0,0,0.0276420284062624,4.04415768571198e-05,0,0.0276824701577425,0.0118868229910731,1.79896008968353,0,0,0.0276420284062624,4.04415768571198e-05,0,NA,0.809523820877075,0.802815794944763,0,300,0.733294725418091,NA,0.0955935046076775,1,0.018798828125,0.01873779296875,0.0186767578125,NA,NA,NA,0.0330810546875,0.0328369140625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033203125,0.0330810546875,0.0330810546875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.578125,4.5625,4.53125,NA,NA,NA,4.453125,4.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.859375,4.8125,4.78125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(191452.253160681, -428928.668183621),NA,NA,NA,NA,NA
"2003-01-02",5.9,"AQS_06-065-8001",1,33.99958,-117.41601,"P041_009703","P041",-117.424331665039,33.9952812194824,210,NA,NA,NA,NA,NA,NA,NA,NA,0.0188345424830914,0.00766615150496364,1.51005780696869,0,0,0.0114972041919827,0.00030904650338925,0.00702847028151155,NA,0.616341054439545,0.783440768718719,2,297,3.44000005722046,NA,0.0946763530373573,6,0.0174560546875,0.01739501953125,0.017333984375,0.01715087890625,0.0169677734375,0.0079345703125,NA,0.0189208984375,0.036865234375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0189208984375,0.01885986328125,NA,NA,NA,NA,0.01904296875,0.01898193359375,0.01898193359375,0.0189208984375,0.018798828125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.609375,6.578125,6.5625,6.53125,6.5,6.6875,NA,6.328125,5.859375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.421875,6.390625,NA,NA,NA,NA,6.5625,6.546875,6.53125,6.484375,6.453125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(238693.079399723, -442960.591006892),NA,NA,NA,NA,NA
"2003-01-02",21.2,"AQS_06-073-0003",1,32.791194,-116.942092,"P041_011446","P041",-116.94514465332,32.7829856872559,47,NA,NA,NA,NA,NA,NA,NA,NA,0.0193426050245762,0.0110352039337158,1.22718060016632,0,0,0.00600550184026361,0.00054146960610523,0.0127959651872516,NA,0.37565216422081,0.514367699623108,2,295,1.78415679931641,NA,0.0965292975306511,9,0.01043701171875,0.010406494140625,0.0103759765625,0.01422119140625,0.006439208984375,0.010101318359375,0.009735107421875,0.01397705078125,0.02532958984375,0.01385498046875,0.009490966796875,NA,NA,0.010589599609375,0.0140380859375,0.025390625,0.02532958984375,0.013885498046875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014129638671875,0.01409912109375,0.01409912109375,0.0255126953125,0.02545166015625,0.03173828125,0.0316162109375,0.013885498046875,NA,NA,0.025634765625,0.025634765625,0.02557373046875,0.0318603515625,0.03173828125,0.03173828125,0.020263671875,NA,NA,NA,0.014007568359375,0.0316162109375,NA,0.02532958984375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.65625,8.65625,8.625,8.625,8.625,8.5625,8.5625,8.5,8.40625,8.4375,8.6875,NA,NA,8.625,8.625,8.65625,8.59375,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.71875,8.6875,8.6875,8.78125,8.6875,8.71875,8.625,8.5,NA,NA,8.875,8.8125,8.78125,8.8125,8.75,8.65625,8.53125,NA,NA,NA,8.625,8.625,NA,8.59375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(286775.943900163, -575527.065256562),NA,NA,NA,NA,NA
"2003-01-02",12.4,"AQS_06-073-1002",1,33.127769,-117.075086,"P041_011105","P041",-117.082504272461,33.1182823181152,112,NA,NA,NA,NA,NA,NA,NA,NA,0.0226374287158251,0.00863980129361153,0.884939074516296,0,0,0.0226043574512005,3.30712282448076e-05,0,NA,0.5,0.647547483444214,2,297,3.44000005722046,NA,0.0957868993282318,1,0.01043701171875,0.010406494140625,0.0103759765625,0.010345458984375,0.010284423828125,0.01025390625,0.010009765625,0.02423095703125,0.02410888671875,0.02398681640625,0.009735107421875,0.009735107421875,0.00970458984375,0.02325439453125,0.02325439453125,0.02325439453125,0.0233154296875,0.0233154296875,0.02386474609375,0.0408935546875,0.02392578125,0.02392578125,0.02392578125,0.02386474609375,0.02386474609375,0.02386474609375,NA,NA,NA,NA,0.02325439453125,0.02325439453125,0.02325439453125,0.02325439453125,0.02325439453125,0.02325439453125,0.0233154296875,0.02337646484375,0.02386474609375,0.041015625,0.023193359375,0.023193359375,0.023193359375,0.02325439453125,0.0233154296875,0.02337646484375,0.0233154296875,0.02337646484375,0.0389404296875,0.0411376953125,0.023193359375,0.02325439453125,0.040771484375,0.023193359375,0.02325439453125,NA,0.023193359375,NA,NA,NA,NA,NA,0.0233154296875,0.02392578125,0.02398681640625,0.02410888671875,NA,NA,NA,NA,NA,NA,NA,NA,3.9375,3.9453125,3.9453125,3.953125,3.96875,3.9765625,3.9921875,3.59375,3.6015625,3.609375,4,4.015625,4.015625,3.6875,3.6796875,3.671875,3.6640625,3.65625,3.6484375,3.4296875,3.6171875,3.6171875,3.6171875,3.625,3.625,3.625,NA,NA,NA,NA,3.7578125,3.75,3.7421875,3.7265625,3.71875,3.703125,3.6953125,3.6875,3.6640625,3.4375,3.8125,3.8046875,3.796875,3.78125,3.7578125,3.7421875,3.7265625,3.7109375,3.484375,3.4375,3.671875,3.65625,3.421875,3.65625,3.640625,NA,3.640625,NA,NA,NA,NA,NA,3.640625,3.6328125,3.640625,3.6484375,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,c(273157.484576166, -538653.028084553),NA,NA,NA,NA,NA
"2003-01-02",14.9,"AQS_06-073-1007",1,32.709224,-117.154841,"P041_011516","P041",-117.143531799316,32.7250022888184,-27,0.0210600160062313,0.00666956044733524,1.31226861476898,0,0,0.00866140518337488,0.00050754396943375,0.0118913762271404,0.0210600160062313,0.00666956044733524,1.31226861476898,0,0,0.00866140518337488,0.00050754396943375,0.0118913762271404,NA,1,0.746294736862183,0,295,4.01428604125977,NA,0.0973801463842392,8,0.01043701171875,0.010406494140625,0.02301025390625,0.02288818359375,0.010284423828125,0.01025390625,0.0255126953125,0.025390625,0.0250244140625,0.02490234375,0.0101318359375,0.010101318359375,NA,NA,NA,NA,0.02496337890625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02508544921875,0.02508544921875,0.0250244140625,0.02490234375,NA,NA,NA,0.02520751953125,0.02520751953125,0.025146484375,0.02520751953125,0.025146484375,0.02496337890625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.46875,5.46875,4.859375,4.84375,5.484375,5.5,4.734375,4.734375,4.75,4.765625,5.453125,5.46875,NA,NA,NA,NA,4.71875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.796875,4.796875,4.796875,4.796875,NA,NA,NA,4.9375,4.921875,4.921875,4.90625,4.890625,4.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(267102.5669309, -585221.980611891),NA,NA,NA,NA,NA
"2003-01-03",7.2,"AQS_06-023-1002",1,40.80178,-124.1621,"P048_000459","P048",-124.185592651367,40.8033180236816,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,317,7.51666641235352,NA,0.0966668576002121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-351228.133938621, 317208.861653066),NA,NA,NA,NA,NA
"2003-01-04",4.7,"AQS_06-037-0002",1,34.1365,-117.92391,"P039_003969","P039",-117.912864685059,34.1247901916504,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,300,0.733294725418091,NA,0.095548041164875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(191452.253160681, -428928.668183621),NA,NA,NA,NA,NA
"2003-01-04",11.5,"AQS_06-037-1103",1,34.06659,-118.22688,"P039_004120","P039",-118.206230163574,34.0675163269043,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,301,1.66608500480652,NA,0.096026249229908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(163661.626012012, -437249.927422205),NA,NA,NA,NA,NA
